 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,58.768656,3,3,75,75,75,37.5,37.5,9,73,0.8999999,7.3
2.1,58.768656,3,3,112.5,112.5,75,37.5,37.5,9,74,0.8999999,7.4
2.1,58.768656,3,3,150,150,75,37.5,37.5,9,77,0.8999999,7.7
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,58.768656,3,3,75,75,75,37.5,37.5,9,73,0.8999999,7.3
2.1,58.768656,3,3,91.07142857,91.07142857,75,37.5,37.5,9,75,0.8999999,7.5
2.1,58.768656,3,3,107.1428571,107.1428571,75,37.5,37.5,9,74,0.8999999,7.4
2.1,58.768656,3,3,123.2142857,123.2142857,75,37.5,37.5,9,74,0.8999999,7.4
2.1,58.768656,3,3,139.2857143,139.2857143,75,37.5,37.5,9,73,0.8999999,7.3
2.1,58.768656,3,3,155.3571429,155.3571429,75,37.5,37.5,9,73,0.8999999,7.3
2.1,58.768656,3,3,171.4285714,171.4285714,75,37.5,37.5,9,75,0.8999999,7.5
2.1,58.768656,3,3,187.5,187.5,75,37.5,37.5,9,72,0.8999999,7.2
2.1,58.768656,3,3,187.5,187.5,75,37.5,37.5,9,72,0.8999999,7.2
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,3.9179104,3,3,12.5,12.5,75,2.5,2.5,4,2,0.4,0.2
2.1,7.8358209,3,3,25,25,75,5,5,3,1,0.3,0.09999999
2.1,11.753731,3,3,37.5,37.5,75,7.5,7.5,6,17,0.6,1.7
2.1,15.671641,3,3,50,50,75,10,10,7,27,0.7,2.7
2.1,19.589552,3,3,62.5,62.5,75,12.5,12.5,8,26,0.8,2.6
2.1,23.507462,3,3,75,75,75,15,15,8,32,0.8,3.2
2.1,27.425373,3,3,87.5,87.5,75,17.5,17.5,10,37,0.9999999,3.7
2.1,31.343283,3,3,100,100,75,20,20,6,43,0.6,4.3
2.1,35.261194,3,3,112.5,112.5,75,22.5,22.5,9,46,0.8999999,4.6
2.1,39.179104,3,3,125,125,75,25,25,9,51,0.8999999,5.1
2.1,43.097014,3,3,137.5,137.5,75,27.5,27.5,9,52,0.8999999,5.2
2.1,47.014925,3,3,150,150,75,30,30,9,73,0.8999999,7.3
2.1,50.932835,3,3,162.5,162.5,75,32.5,32.5,9,66,0.8999999,6.6
2.1,54.850746,3,3,175,175,75,35,35,9,60,0.8999999,6
2.1,58.768656,3,3,187.5,187.5,75,37.5,37.5,9,72,0.8999999,7.2
2.1,62.686567,3,3,200,200,75,40,40,9,76,0.8999999,7.6
2.1,66.604477,3,3,212.5,212.5,75,42.5,42.5,9,80,0.8999999,8
2.1,70.522388,3,3,225,225,75,45,45,9,77,0.8999999,7.7
2.1,74.440298,3,3,237.5,237.5,75,47.5,47.5,9,83,0.8999999,8.3
2.1,78.358209,3,3,250,250,75,50,50,7,78,0.7,7.8
2.1,7.8358209,3,3,25,25,75,5,5,3,1,0.3,0.09999999
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,3.9179104,3,3,5,5,75,2.5,2.5,4,3,0.4,0.3
2.1,7.8358209,3,3,10,10,75,5,5,3,0,0.3,0
2.1,11.753731,3,3,15,15,75,7.5,7.5,6,16,0.6,1.6
2.1,15.671641,3,3,20,20,75,10,10,7,25,0.7,2.5
2.1,19.589552,3,3,25,25,75,12.5,12.5,8,25,0.8,2.5
2.1,23.507462,3,3,30,30,75,15,15,8,32,0.8,3.2
2.1,27.425373,3,3,35,35,75,17.5,17.5,10,39,0.9999999,3.9
2.1,31.343283,3,3,40,40,75,20,20,6,44,0.6,4.4
2.1,35.261194,3,3,45,45,75,22.5,22.5,9,49,0.8999999,4.9
2.1,39.179104,3,3,50,50,75,25,25,9,51,0.8999999,5.1
2.1,43.097014,3,3,55,55,75,27.5,27.5,9,50,0.8999999,5
2.1,47.014925,3,3,60,60,75,30,30,9,72,0.8999999,7.2
2.1,50.932835,3,3,65,65,75,32.5,32.5,9,68,0.8999999,6.8
2.1,54.850746,3,3,70,70,75,35,35,9,61,0.8999999,6.1
2.1,58.768656,3,3,75,75,75,37.5,37.5,9,73,0.8999999,7.3
2.1,62.686567,3,3,80,80,75,40,40,9,75,0.8999999,7.5
2.1,66.604477,3,3,85,85,75,42.5,42.5,9,79,0.8999999,7.9
2.1,70.522388,3,3,90,90,75,45,45,9,81,0.8999999,8.1
2.1,74.440298,3,3,95,95,75,47.5,47.5,9,83,0.8999999,8.3
2.1,78.358209,3,3,100,100,75,50,50,7,78,0.7,7.8
2.1,7.8358209,3,3,10,10,75,5,5,3,0,0.3,0
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,3.9179104,3,3,5,5,5,7.5,2.5,18,15,1.8,1.5
2.1,7.8358209,3,3,10,10,10,15,5,30,27,3,2.7
2.1,11.753731,3,3,15,15,15,22.5,7.5,36,42,3.6,4.2
2.1,15.671641,3,3,20,20,20,30,10,48,46,4.8,4.6
2.1,19.589552,3,3,25,25,25,37.5,12.5,50,45,5,4.5
2.1,23.507462,3,3,30,30,30,45,15,55,56,5.5,5.6
2.1,27.425373,3,3,35,35,35,52.5,17.5,56,60,5.6,6
2.1,31.343283,3,3,40,40,40,60,20,53,62,5.3,6.2
2.1,35.261194,3,3,45,45,45,67.5,22.5,58,60,5.8,6
2.1,39.179104,3,3,50,50,50,75,25,64,61,6.4,6.1
2.1,43.097014,3,3,55,55,55,82.5,27.5,64,62,6.4,6.2
2.1,47.014925,3,3,60,60,60,90,30,59,81,5.9,8.1
2.1,50.932835,3,3,65,65,65,97.5,32.5,63,76,6.3,7.6
2.1,54.850746,3,3,70,70,70,105,35,62,75,6.2,7.5
2.1,58.768656,3,3,75,75,75,112.5,37.5,65,81,6.5,8.1
2.1,62.686567,3,3,80,80,80,120,40,64,81,6.4,8.1
2.1,66.604477,3,3,85,85,85,127.5,42.5,66,82,6.6,8.2
2.1,70.522388,3,3,90,90,90,135,45,64,83,6.4,8.3
2.1,74.440298,3,3,95,95,95,142.5,47.5,67,85,6.7,8.499999
2.1,78.358209,3,3,100,100,100,150,50,66,93,6.6,9.299999
2.1,3.9179104,3,3,5,5,5,7.5,2.5,18,15,1.8,1.5
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,39.179104,3,3,50,50,50,75,25,64,61,6.4,6.1
2.1,39.179104,3,3,61.11111111,61.11111111,50,75,25,64,64,6.4,6.4
2.1,39.179104,3,3,72.22222222,72.22222222,50,75,25,64,71,6.4,7.1
2.1,39.179104,3,3,83.33333333,83.33333333,50,75,25,64,68,6.4,6.8
2.1,39.179104,3,3,94.44444444,94.44444444,50,75,25,64,69,6.4,6.9
2.1,39.179104,3,3,105.5555556,105.5555556,50,75,25,64,66,6.4,6.6
2.1,39.179104,3,3,116.6666667,116.6666667,50,75,25,64,67,6.4,6.7
2.1,39.179104,3,3,127.7777778,127.7777778,50,75,25,64,69,6.4,6.9
2.1,39.179104,3,3,138.8888889,138.8888889,50,75,25,64,72,6.4,7.2
2.1,39.179104,3,3,150,150,50,75,25,64,68,6.4,6.8
2.1,39.179104,3,3,50,50,50,75,25,64,61,6.4,6.1
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,39.179104,3,3,50,50,50,150,25,137,139,13.7,13.9
2.1,39.179104,3,3,61.11111111,61.11111111,50,166.666666,25,137,132,13.7,13.2
2.1,39.179104,3,3,72.22222222,72.22222222,50,183.333333,25,137,143,13.7,14.3
2.1,39.179104,3,3,83.33333333,83.33333333,50,200,25,137,145,13.7,14.5
2.1,39.179104,3,3,94.44444444,94.44444444,50,216.666666,25,138,148,13.8,14.8
2.1,39.179104,3,3,105.5555556,105.5555556,50,233.333333,25,138,146,13.8,14.6
2.1,39.179104,3,3,116.6666667,116.6666667,50,250,25,138,135,13.8,13.5
2.1,39.179104,3,3,127.7777778,127.7777778,50,266.666666,25,138,145,13.8,14.5
2.1,39.179104,3,3,138.8888889,138.8888889,50,283.333333,25,138,141,13.8,14.1
2.1,39.179104,3,3,150,150,50,300,25,138,140,13.8,14
2.1,39.179104,3,3,61.11111111,61.11111111,50,166.666666,25,137,132,13.7,13.2
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,39.179104,3,3,50,50,50,150,25,137,139,13.7,13.9
2.1,39.179104,3,3,61.11111111,61.11111111,50,150,25,137,129,13.7,12.9
2.1,39.179104,3,3,72.22222222,72.22222222,50,150,25,137,134,13.7,13.4
2.1,39.179104,3,3,83.33333333,83.33333333,50,150,25,137,139,13.7,13.9
2.1,39.179104,3,3,94.44444444,94.44444444,50,150,25,137,137,13.7,13.7
2.1,39.179104,3,3,105.5555556,105.5555556,50,150,25,137,135,13.7,13.5
2.1,39.179104,3,3,116.6666667,116.6666667,50,150,25,137,127,13.7,12.7
2.1,39.179104,3,3,127.7777778,127.7777778,50,150,25,137,137,13.7,13.7
2.1,39.179104,3,3,138.8888889,138.8888889,50,150,25,137,137,13.7,13.7
2.1,39.179104,3,3,150,150,50,150,25,137,135,13.7,13.5
2.1,39.179104,3,3,116.6666667,116.6666667,50,150,25,137,127,13.7,12.7
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,3.9179104,3,3,6.25,6.25,5,15,2.5,54,58,5.4,5.8
2.1,5.7737627,3,3,9.210526316,9.210526316,7.368421052,22.1052631,3.684210526,75,70,7.5,7
2.1,7.629615,3,3,12.17105263,12.17105263,9.736842105,29.2105263,4.868421053,97,91,9.699999,9.099999
2.1,9.4854674,3,3,15.13157895,15.13157895,12.10526315,36.3157894,6.052631579,107,103,10.7,10.3
2.1,11.341319,3,3,18.09210526,18.09210526,14.47368421,43.4210526,7.236842105,110,103,11,10.3
2.1,13.197172,3,3,21.05263158,21.05263158,16.84210526,50.5263157,8.421052632,118,135,11.8,13.5
2.1,15.053024,3,3,24.01315789,24.01315789,19.21052631,57.6315789,9.605263158,124,130,12.4,13
2.1,16.908876,3,3,26.97368421,26.97368421,21.57894736,64.7368421,10.78947368,123,117,12.3,11.7
2.1,18.764729,3,3,29.93421053,29.93421053,23.94736842,71.8421052,11.97368421,130,128,13,12.8
2.1,20.620581,3,3,32.89473684,32.89473684,26.31578947,78.9473684,13.15789474,135,133,13.5,13.3
2.1,22.476433,3,3,35.85526316,35.85526316,28.68421052,86.0526315,14.34210526,134,131,13.4,13.1
2.1,24.332285,3,3,38.81578947,38.81578947,31.05263157,93.1578947,15.52631579,129,123,12.9,12.3
2.1,26.188138,3,3,41.77631579,41.77631579,33.42105263,100.263157,16.71052632,136,129,13.6,12.9
2.1,28.04399,3,3,44.73684211,44.73684211,35.78947368,107.368421,17.89473684,130,126,13,12.6
2.1,29.899842,3,3,47.69736842,47.69736842,38.15789473,114.473684,19.07894737,136,138,13.6,13.8
2.1,31.755695,3,3,50.65789474,50.65789474,40.52631578,121.578947,20.26315789,137,130,13.7,13
2.1,33.611547,3,3,53.61842105,53.61842105,42.89473684,128.68421,21.44736842,138,134,13.8,13.4
2.1,35.467399,3,3,56.57894737,56.57894737,45.26315789,135.789473,22.63157895,131,135,13.1,13.5
2.1,37.323252,3,3,59.53947368,59.53947368,47.63157894,142.894736,23.81578947,131,150,13.1,15
2.1,39.179104,3,3,62.5,62.5,50,150,25,137,135,13.7,13.5
2.1,3.9179104,3,3,6.25,6.25,5,15,2.5,54,58,5.4,5.8
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,19.589552,1,3,31.25,31.25,25,31.25,12.5,32,40,3.2,4
2.1,19.589552,2.25,3,31.25,31.25,25,70.3125,12.5,119,129,11.9,12.9
2.1,19.589552,3.5,3,31.25,31.25,25,109.375,12.5,131,139,13.1,13.9
2.1,19.589552,4.75,3,31.25,31.25,25,148.4375,12.5,132,150,13.2,15
2.1,19.589552,6,3,31.25,31.25,25,187.5,12.5,132,150,13.2,15
2.1,19.589552,1,3,31.25,31.25,25,31.25,12.5,32,40,3.2,4
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,19.589552,1,3,31.25,31.25,25,18.75,12.5,12,30,1.2,3
2.1,19.589552,2.25,3,31.25,31.25,25,57.8125,12.5,100,114,9.999999,11.4
2.1,19.589552,3.5,3,31.25,31.25,25,96.875,12.5,131,138,13.1,13.8
2.1,19.589552,4.75,3,31.25,31.25,25,135.9375,12.5,132,150,13.2,15
2.1,19.589552,6,3,31.25,31.25,25,175,12.5,132,149,13.2,14.9
2.1,19.589552,1,3,31.25,31.25,25,18.75,12.5,12,30,1.2,3
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,19.589552,1,3,31.25,31.25,25,15.625,12.5,8,30,0.8,3
2.1,19.589552,2.25,3,31.25,31.25,25,15.625,12.5,8,4,0.8,0.4
2.1,19.589552,3.5,3,31.25,31.25,25,15.625,12.5,8,14,0.8,1.4
2.1,19.589552,4.75,3,31.25,31.25,25,15.625,12.5,8,26,0.8,2.6
2.1,19.589552,6,3,31.25,31.25,25,15.625,12.5,8,7,0.8,0.7
2.1,19.589552,2.25,3,31.25,31.25,25,15.625,12.5,8,4,0.8,0.4
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,19.589552,1,3,31.25,31.25,25,15.625,12.5,8,30,0.8,3
2.1,19.589552,2.25,3,31.25,31.25,25,35.15625,12.5,45,47,4.5,4.7
2.1,19.589552,3.5,3,31.25,31.25,25,54.6875,12.5,95,95,9.499999,9.499999
2.1,19.589552,4.75,3,31.25,31.25,25,74.21875,12.5,125,140,12.5,14
2.1,19.589552,6,3,31.25,31.25,25,93.75,12.5,131,143,13.1,14.3
2.1,19.589552,1,3,31.25,31.25,25,15.625,12.5,8,30,0.8,3
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
 N_LENS, LENS_F (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
2.1,19.589552,3,1,31.25,31.25,25,15.625,12.5,8,33,0.8,3.3
2.1,19.589552,3,2.25,31.25,31.25,25,35.15625,12.5,45,51,4.5,5.1
2.1,19.589552,3,3.5,31.25,31.25,25,54.6875,12.5,95,95,9.499999,9.499999
2.1,19.589552,3,4.75,31.25,31.25,25,74.21875,12.5,125,120,12.5,12
2.1,19.589552,3,6,31.25,31.25,25,93.75,12.5,131,153,13.1,15.3
2.1,19.589552,3,1,31.25,31.25,25,15.625,12.5,8,33,0.8,3.3
 EM_WAVE,0.59,AIR_GAP,2,,,,,,,,,
          ,,,,,,,,,,,,
