 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um),  PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,4        , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 76             , 7.5                , 7.5999999999999996
 .59       ,6        , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 66             , 7.5                , 6.5999999999999996
 .59       ,8        , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 62             , 7.5                , 6.2000000000000001
 .59       ,10       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 59             , 7.5                , 5.9000000000000003
 .59       ,12       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 57             , 7.5                , 5.7000000000000001
 .59       ,14       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 48             , 7.5                , 4.7999999999999998
 .59       ,16       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 45             , 7.5                , 4.5               
 .59       ,18       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 41             , 7.5                , 4.0999999999999996
 .59       ,20       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 46             , 7.5                , 4.5999999999999996
 .59       ,22       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 49             , 7.5                , 4.9000000000000003
 .59       ,24       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 45             , 7.5                , 4.5               
 .59       ,26       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 45             , 7.5                , 4.5               
 .59       ,28       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 46             , 7.5                , 4.5999999999999996
 .59       ,30       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 46             , 7.5                , 4.5999999999999996
 .59       ,32       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 49             , 7.5                , 4.9000000000000003
 .59       ,34       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 50             , 7.5                , 5                 
 .59       ,36       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 52             , 7.5                , 5.2000000000000001
 .59       ,38       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 49             , 7.5                , 4.9000000000000003
 .59       ,40       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 50             , 7.5                , 5                 
 .59       ,42       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 48             , 7.5                , 4.7999999999999998
 .59       ,44       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 47             , 7.5                , 4.7000000000000001
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um),  PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,42       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 49             , 7.5                , 4.9000000000000003
 .59       ,44       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 47             , 7.5                , 4.7000000000000001
 .59       ,46       , 100      , 3.7052        , 10                , 5                , 18.75     , 75                  , 52             , 7.5                , 5.2000000000000001
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,42       , 100      , 3.7052        , 51.298266 , 10                , 5                , 51.298266 , 20                  , 42             , 2                  , 4.2000000000000001
 .59       ,44       , 100      , 3.7052        , 52.5783263, 10                , 5                , 52.5783263, 20                  , 42             , 2                  , 4.2000000000000001
 .59       ,46       , 100      , 3.7052        , 53.8344211, 10                , 5                , 53.8344211, 21                  , 44             , 2.10000000000000008, 4.4000000000000003
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,8        , 100      , 3.7052        , 21.8533658, 10                , 5                , 21.8533658, 4                   , 8              , .400000000000000022, .80000000000000004
 .59       ,12       , 100      , 3.7052        , 26.8427196, 10                , 5                , 26.8427196, 7                   , 17             , .699999999999999955, 1.6999999999999999
 .59       ,16       , 100      , 3.7052        , 31.0850189, 10                , 5                , 31.0850189, 10                  , 20             , .999999900000000052, 2                 
 .59       ,20       , 100      , 3.7052        , 34.8541245, 10                , 5                , 34.8541245, 11                  , 29             , 1.10000000000000008, 2.8999999999999999
 .59       ,24       , 100      , 3.7052        , 38.29003  , 10                , 5                , 38.29003  , 12                  , 35             , 1.19999999999999995, 3.5               
 .59       ,28       , 100      , 3.7052        , 41.4756265, 10                , 5                , 41.4756265, 13                  , 39             , 1.30000000000000004, 3.8999999999999999
 .59       ,32       , 100      , 3.7052        , 44.4647455, 10                , 5                , 44.4647455, 14                  , 41             , 1.39999999999999991, 4.0999999999999996
 .59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 5                , 47.294655 , 16                  , 46             , 1.60000000000000008, 4.5999999999999996
 .59       ,40       , 100      , 3.7052        , 49.9923994, 10                , 5                , 49.9923994, 18                  , 43             , 1.80000000000000004, 4.2999999999999998
 .59       ,44       , 100      , 3.7052        , 52.5783263, 10                , 5                , 52.5783263, 20                  , 42             , 2                  , 4.2000000000000001
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,36       , 100      , 1.8526        , 47.294655 , 10                , 5                , 47.294655 , 16                  , 44             , 1.60000000000000008, 4.4000000000000003
 .59       ,36       , 100      , 2.189436363636, 47.294655 , 10                , 5                , 47.294655 , 16                  , 47             , 1.60000000000000008, 4.7000000000000001
 .59       ,36       , 100      , 2.526272727272, 47.294655 , 10                , 5                , 47.294655 , 16                  , 44             , 1.60000000000000008, 4.4000000000000003
 .59       ,36       , 100      , 2.863109090909, 47.294655 , 10                , 5                , 47.294655 , 16                  , 42             , 1.60000000000000008, 4.2000000000000001
 .59       ,36       , 100      , 3.199945454545, 47.294655 , 10                , 5                , 47.294655 , 16                  , 44             , 1.60000000000000008, 4.4000000000000003
 .59       ,36       , 100      , 3.536781818181, 47.294655 , 10                , 5                , 47.294655 , 16                  , 44             , 1.60000000000000008, 4.4000000000000003
 .59       ,36       , 100      , 3.873618181818, 47.294655 , 10                , 5                , 47.294655 , 16                  , 47             , 1.60000000000000008, 4.7000000000000001
 .59       ,36       , 100      , 4.210454545454, 47.294655 , 10                , 5                , 47.294655 , 16                  , 49             , 1.60000000000000008, 4.9000000000000003
 .59       ,36       , 100      , 4.54729090909 , 47.294655 , 10                , 5                , 47.294655 , 16                  , 50             , 1.60000000000000008, 5                 
 .59       ,36       , 100      , 4.884127272727, 47.294655 , 10                , 5                , 47.294655 , 16                  , 53             , 1.60000000000000008, 5.2999999999999998
 .59       ,36       , 100      , 5.220963636363, 47.294655 , 10                , 5                , 47.294655 , 15                  , 50             , 1.5                , 5                 
 .59       ,36       , 100      , 5.5578        , 47.294655 , 10                , 5                , 47.294655 , 14                  , 48             , 1.39999999999999991, 4.7999999999999998
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,36       , 20       , 3.7052        , 23.1858663, 10                , 5                , 23.1858663, 18                  , 18             , 1.80000000000000004, 1.8               
 .59       ,36       , 29.473684, 3.7052        , 27.1809759, 10                , 5                , 27.1809759, 19                  , 26             , 1.89999999999999991, 2.6               
 .59       ,36       , 38.947368, 3.7052        , 30.6598516, 10                , 5                , 30.6598516, 18                  , 27             , 1.80000000000000004, 2.7000000000000001
 .59       ,36       , 48.421052, 3.7052        , 33.7823557, 10                , 5                , 33.7823557, 20                  , 30             , 2                  , 3                 
 .59       ,36       , 57.894736, 3.7052        , 36.6397135, 10                , 5                , 36.6397135, 17                  , 24             , 1.69999999999999995, 2.3999999999999999
 .59       ,36       , 67.368421, 3.7052        , 39.2898162, 10                , 5                , 39.2898162, 17                  , 31             , 1.69999999999999995, 3.1               
 .59       ,36       , 76.842105, 3.7052        , 41.7721284, 10                , 5                , 41.7721284, 17                  , 36             , 1.69999999999999995, 3.6               
 .59       ,36       , 86.315789, 3.7052        , 44.1149834, 10                , 5                , 44.1149834, 15                  , 42             , 1.5                , 4.2000000000000001
 .59       ,36       , 95.789473, 3.7052        , 46.3395384, 10                , 5                , 46.3395384, 16                  , 42             , 1.60000000000000008, 4.2000000000000001
 .59       ,36       , 105.26315, 3.7052        , 48.4620869, 10                , 5                , 48.4620869, 15                  , 50             , 1.5                , 5                 
 .59       ,36       , 114.73684, 3.7052        , 50.4954941, 10                , 5                , 50.4954941, 14                  , 39             , 1.39999999999999991, 3.8999999999999999
 .59       ,36       , 124.21052, 3.7052        , 52.4501284, 10                , 5                , 52.4501284, 14                  , 38             , 1.39999999999999991, 3.7999999999999998
 .59       ,36       , 133.68421, 3.7052        , 54.3344921, 10                , 5                , 54.3344921, 13                  , 41             , 1.30000000000000004, 4.0999999999999996
 .59       ,36       , 143.15789, 3.7052        , 56.1556594, 10                , 5                , 56.1556594, 12                  , 30             , 1.19999999999999995, 3                 
 .59       ,36       , 152.63157, 3.7052        , 57.9195919, 10                , 5                , 57.9195919, 12                  , 28             , 1.19999999999999995, 2.7999999999999998
 .59       ,36       , 162.10526, 3.7052        , 59.6313691, 10                , 5                , 59.6313691, 12                  , 26             , 1.19999999999999995, 2.6               
 .59       ,36       , 171.57894, 3.7052        , 61.2953606, 10                , 5                , 61.2953606, 12                  , 27             , 1.19999999999999995, 2.7000000000000001
 .59       ,36       , 181.05263, 3.7052        , 62.9153581, 10                , 5                , 62.9153581, 12                  , 24             , 1.19999999999999995, 2.3999999999999999
 .59       ,36       , 190.52631, 3.7052        , 64.4946768, 10                , 5                , 64.4946768, 12                  , 25             , 1.19999999999999995, 2.5               
 .59       ,36       , 200      , 3.7052        , 66.0362355, 10                , 5                , 66.0362355, 13                  , 18             , 1.30000000000000004, 1.8               
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,36       , 10       , 3.7052        , 18.0328699, 0                , 40               , 18.0328699, 15                  , 28             , 1.5                , 2.7999999999999998
 .59       ,36       , 20       , 3.7052        , 23.1858663, 0                , 40               , 23.1858663, 18                  , 28             , 1.80000000000000004, 2.7999999999999998
 .59       ,36       , 30       , 3.7052        , 27.385843 , 0                , 40               , 27.385843 , 18                  , 31             , 1.80000000000000004, 3.1               
 .59       ,36       , 40       , 3.7052        , 31.022321 , 0                , 40               , 31.022321 , 18                  , 24             , 1.80000000000000004, 2.3999999999999999
 .59       ,36       , 50       , 3.7052        , 34.275128 , 0                , 40               , 34.275128 , 18                  , 27             , 1.80000000000000004, 2.7000000000000001
 .59       ,36       , 60       , 3.7052        , 37.2449244, 0                , 40               , 37.2449244, 17                  , 31             , 1.69999999999999995, 3.1               
 .59       ,36       , 70       , 3.7052        , 39.9948046, 0                , 40               , 39.9948046, 17                  , 22             , 1.69999999999999995, 2.2000000000000001
 .59       ,36       , 80       , 3.7052        , 42.56741  , 0                , 40               , 42.56741  , 17                  , 23             , 1.69999999999999995, 2.2999999999999998
 .59       ,36       , 90       , 3.7052        , 44.9931594, 0                , 40               , 44.9931594, 15                  , 17             , 1.5                , 1.6999999999999999
 .59       ,36       , 100      , 3.7052        , 47.294655 , 0                , 40               , 47.294655 , 15                  , 23             , 1.5                , 2.2999999999999998
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 10               , 31.022321 , 47                  , 28             , 4.70000000000000017, 2.7999999999999998
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 20               , 31.022321 , 33                  , 27             , 3.29999999999999982, 2.7000000000000001
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 30               , 31.022321 , 26                  , 26             , 2.60000000000000008, 2.6               
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 40               , 31.022321 , 18                  , 24             , 1.80000000000000004, 2.3999999999999999
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 50               , 31.022321 , 16                  , 24             , 1.60000000000000008, 2.3999999999999999
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 60               , 31.022321 , 12                  , 23             , 1.19999999999999995, 2.2999999999999998
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 70               , 31.022321 , 11                  , 22             , 1.10000000000000008, 2.2000000000000001
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 80               , 31.022321 , 10                  , 21             , .999999900000000052, 2.1               
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 90               , 31.022321 , 9                   , 21             , .899999899999999963, 2.1               
 .59       ,36       , 40       , 3.7052        , 31.022321 , 40                , 100              , 31.022321 , 10                  , 20             , .999999900000000052, 2                 
          
 EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 .59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 47.294655 , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 .59       ,36       , 100      , 3.7052        , 47.294655 , 20                , 40               , 47.294655 , 72                  , 73             , 7.20000000000000017, 7.2999999999999998
 .59       ,36       , 100      , 3.7052        , 47.294655 , 30                , 40               , 47.294655 , 59                  , 65             , 5.90000000000000035, 6.5               
 .59       ,36       , 100      , 3.7052        , 47.294655 , 40                , 40               , 47.294655 , 51                  , 49             , 5.09999999999999964, 4.9000000000000003
 .59       ,36       , 100      , 3.7052        , 47.294655 , 50                , 40               , 47.294655 , 38                  , 39             , 3.79999999999999982, 3.8999999999999999
 .59       ,36       , 100      , 3.7052        , 47.294655 , 60                , 40               , 47.294655 , 31                  , 40             , 3.10000000000000008, 4                 
 .59       ,36       , 100      , 3.7052        , 47.294655 , 70                , 40               , 47.294655 , 27                  , 32             , 2.70000000000000017, 3.2000000000000001
 .59       ,36       , 100      , 3.7052        , 47.294655 , 80                , 40               , 47.294655 , 21                  , 30             , 2.10000000000000008, 3                 
 .59       ,36       , 100      , 3.7052        , 47.294655 , 90                , 40                     
 FLUOR_WAVE (nm), EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 400          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 450          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 500          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 550          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 600          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 650          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 700          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999    , 47.294655 , 18                  , 19             , 1.80000000000000004, 1.8999999999999999
 .59       ,36       , 100      , 3.7052        , 47.294655 , 100               , 40               , 47.294655 , 15                  , 23             , 1.5                , 2.2999999999999998

          
 FLUOR_WAVE (nm), EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 400          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 450          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 500          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 550          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 600          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 650          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 700          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
          
 FLUOR_WAVE (nm), EMWAVE (um), NZONES, LENS_F (um), LENS_HEIGHT (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 400          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 450          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 500          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 550          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 600          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 650          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
 700          ,.59       ,36       , 100      , 3.7052        , 47.294655 , 10                , 40               , 96                  , 101            , 9.59999900000000039, 10.099999999999999
          
