 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000294 , 53.40136054421, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 0                   , 5              , 0                  , 5                 
 1.75           , .0003254, 48.24830977258, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 1                   , 8              , 1                  , 8                 
 1.75           , .0003568, 44.00224215246, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 3                   , 8              , 3                  , 8                 
 1.75           , .0003882, 40.44307058217, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 4                   , 10             , 4                  , 10                
 1.75           , .0004196, 37.41658722592, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 5                   , 7              , 5                  , 7                 
 1.75           , .000451 , 34.81152993348, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 6                   , 9              , 6                  , 9                 
 1.75           , .0004824, 32.54560530679, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 7                   , 9              , 7                  , 9                 
 1.75           , .0005138, 30.55663682366, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 11                  , 8              , 11                 , 8                 
 1.75           , .0005452, 28.79677182685, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 9                   , 5              , 9                  , 5                 
 1.75           , .0005766, 27.22858133888, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 9                   , 10             , 9                  , 10                
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 9                   , 5              , 9                  , 5                 
 1.75           , .000294 , 53.40136054421, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 0                   , 5              , 0                  , 5                 
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000294 , 53.40136054421, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 46                  , 72             , 4.59999999999999964, 7.2000000000000001
 1.75           , .0003254, 48.24830977258, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 49                  , 77             , 4.90000000000000035, 7.7000000000000001
 1.75           , .0003568, 44.00224215246, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 58                  , 86             , 5.79999999999999982, 8.5999990000000003
 1.75           , .0003882, 40.44307058217, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 62                  , 87             , 6.20000000000000017, 8.699999          
 1.75           , .0004196, 37.41658722592, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 69                  , 79             , 6.90000000000000035, 7.9000000000000003
 1.75           , .000451 , 34.81152993348, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 69                  , 90             , 6.90000000000000035, 8.9999990000000007
 1.75           , .0004824, 32.54560530679, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 75                  , 88             , 7.5                , 8.7999989999999996
 1.75           , .0005138, 30.55663682366, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 78                  , 81             , 7.79999999999999982, 8.0999999999999996
 1.75           , .0005452, 28.79677182685, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 82                  , 106            , 8.19999999999999928, 10.599999999999999
 1.75           , .0005766, 27.22858133888, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 96                  , 95             , 9.59999900000000039, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 98                  , 94             , 9.79999899999999968, 9.3999989999999993
 1.75           , .000294 , 53.40136054421, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 46                  , 72             , 4.59999999999999964, 7.2000000000000001
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000608 , 25.82236842105, 3        , 3        , 12.5        , 12.5        , 10         , 18.75     , 5                 , 5                , 27                  , 49             , 2.70000000000000017, 4.9000000000000003
 1.75           , .000608 , 25.82236842105, 3        , 3        , 18.75       , 18.75       , 15         , 28.125    , 5                 , 5                , 57                  , 78             , 5.70000000000000017, 7.7999999999999998
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 98                  , 94             , 9.79999899999999968, 9.3999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 31.25       , 31.25       , 25         , 46.875    , 5                 , 5                , 119                 , 110            , 11.9000000000000003, 11                
 1.75           , .000608 , 25.82236842105, 3        , 3        , 37.5        , 37.5        , 30         , 56.25     , 5                 , 5                , 133                 , 109            , 13.3000000000000007, 10.9              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 43.75       , 43.75       , 35         , 65.625    , 5                 , 5                , 135                 , 123            , 13.5               , 12.3              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 50          , 50          , 40         , 75        , 5                 , 5                , 136                 , 144            , 13.5999999999999996, 14.4              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 56.25       , 56.25       , 45         , 84.375    , 5                 , 5                , 136                 , 150            , 13.5999999999999996, 15                
 1.75           , .000608 , 25.82236842105, 3        , 3        , 62.5        , 62.5        , 50         , 93.75     , 5                 , 5                , 136                 , 165            , 13.5999999999999996, 16.5              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 12.5        , 12.5        , 10         , 18.75     , 5                 , 5                , 27                  , 49             , 2.70000000000000017, 4.9000000000000003
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000608 , 25.82236842105, 3        , 3        , 20          , 20          , 20         , 30        , 5                 , 5                , 64                  , 95             , 6.40000000000000035, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 21          , 21          , 20         , 31.5      , 5                 , 5                , 68                  , 98             , 6.79999999999999982, 9.7999989999999996
 1.75           , .000608 , 25.82236842105, 3        , 3        , 22          , 22          , 20         , 33        , 5                 , 5                , 75                  , 92             , 7.5                , 9.199999          
 1.75           , .000608 , 25.82236842105, 3        , 3        , 23          , 23          , 20         , 34.5      , 5                 , 5                , 79                  , 95             , 7.90000000000000035, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 24          , 24          , 20         , 36        , 5                 , 5                , 87                  , 95             , 8.69999900000000003, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 5                 , 5                , 98                  , 94             , 9.79999899999999968, 9.3999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 26          , 26          , 20         , 39        , 5                 , 5                , 105                 , 93             , 10.5               , 9.2999989999999996
 1.75           , .000608 , 25.82236842105, 3        , 3        , 27          , 27          , 20         , 40.5      , 5                 , 5                , 109                 , 89             , 10.9000000000000003, 8.8999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 28          , 28          , 20         , 42        , 5                 , 5                , 110                 , 91             , 11                 , 9.0999990000000003
 1.75           , .000608 , 25.82236842105, 3        , 3        , 29          , 29          , 20         , 43.5      , 5                 , 5                , 112                 , 99             , 11.1999999999999992, 9.8999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 30          , 30          , 20         , 45        , 5                 , 5                , 114                 , 107            , 11.4000000000000003, 10.699999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 31          , 31          , 20         , 46.5      , 5                 , 5                , 119                 , 95             , 11.9000000000000003, 9.4999990000000007
 1.75           , .000608 , 25.82236842105, 3        , 3        , 32          , 32          , 20         , 48        , 5                 , 5                , 120                 , 110            , 12                 , 11                
 1.75           , .000608 , 25.82236842105, 3        , 3        , 33          , 33          , 20         , 49.5      , 5                 , 5                , 123                 , 108            , 12.3000000000000007, 10.8              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 34          , 34          , 20         , 51        , 5                 , 5                , 127                 , 107            , 12.6999999999999992, 10.699999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 35          , 35          , 20         , 52.5      , 5                 , 5                , 127                 , 117            , 12.6999999999999992, 11.699999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 36          , 36          , 20         , 54        , 5                 , 5                , 128                 , 121            , 12.8000000000000007, 12.099999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 37          , 37          , 20         , 55.5      , 5                 , 5                , 130                 , 126            , 13                 , 12.599999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 38          , 38          , 20         , 57        , 5                 , 5                , 133                 , 116            , 13.3000000000000007, 11.599999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 39          , 39          , 20         , 58.5      , 5                 , 5                , 133                 , 125            , 13.3000000000000007, 12.5              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 40          , 40          , 20         , 60        , 5                 , 5                , 134                 , 129            , 13.4000000000000003, 12.9              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 27          , 27          , 20         , 40.5      , 5                 , 5                , 109                 , 89             , 10.9000000000000003, 8.8999989999999993
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 2                 , 2                , 104                 , 99             , 10.4000000000000003, 9.8999989999999993
 1.75           , .000608 , 25.82236842105, 3        , 3        , 30          , 30          , 20         , 45        , 2                 , 2                , 120                 , 119            , 12                 , 11.9              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 35          , 35          , 20         , 52.5      , 2                 , 2                , 129                 , 136            , 12.9000000000000003, 13.599999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 40          , 40          , 20         , 60        , 2                 , 2                , 132                 , 148            , 13.1999999999999992, 14.8              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 45          , 45          , 20         , 67.5      , 2                 , 2                , 132                 , 156            , 13.1999999999999992, 15.599999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 50          , 50          , 20         , 75        , 2                 , 2                , 133                 , 162            , 13.3000000000000007, 16.199999999999999
 1.75           , .000608 , 25.82236842105, 3        , 3        , 55          , 55          , 20         , 82.5      , 2                 , 2                , 133                 , 154            , 13.3000000000000007, 15.4              
 1.75           , .000608 , 25.82236842105, 3        , 3        , 60          , 60          , 20         , 90        , 2                 , 2                , 133                 , 161            , 13.3000000000000007, 16.100000000000001
 1.75           , .000608 , 25.82236842105, 3        , 3        , 25          , 25          , 20         , 37.5      , 2                 , 2                , 104                 , 99             , 10.4000000000000003, 9.8999989999999993
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, SQRTA, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.75           , .000608 , 25.82236842105, 2        , 2        , 15          , 15          , 10         , 15        , 2                 , 2                , 22                  , 48             , 2.20000000000000017, 4.7999999999999998
 1.75           , .000608 , 25.82236842105, 3        , 3        , 15          , 15          , 10         , 22.5      , 2                 , 2                , 48                  , 70             , 4.79999999999999982, 7                 
 1.75           , .000608 , 25.82236842105, 4        , 4        , 15          , 15          , 10         , 30        , 2                 , 2                , 76                  , 90             , 7.59999999999999964, 8.9999990000000007
 1.75           , .000608 , 25.82236842105, 5        , 5        , 15          , 15          , 10         , 37.5      , 2                 , 2                , 104                 , 111            , 10.4000000000000003, 11.099999999999999
 1.75           , .000608 , 25.82236842105, 6        , 6        , 15          , 15          , 10         , 45        , 2                 , 2                , 120                 , 119            , 12                 , 11.9              
 1.75           , .000608 , 25.82236842105, 2        , 2        , 15          , 15          , 10         , 15        , 2                 , 2                , 22                  , 48             , 2.20000000000000017, 4.7999999999999998
 EM_WAVE,.59       ,AIR_GAP, 2           
          
