 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 53.40136054421, 20                , 20               , 31.25     , 13                  , 113            , 1.30000000000000004, 11.3              
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 48.24830977258, 20                , 20               , 31.25     , 16                  , 103            , 1.60000000000000008, 10.3              
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 44.00224215246, 20                , 20               , 31.25     , 17                  , 97             , 1.69999999999999995, 9.699999          
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 40.44307058217, 20                , 20               , 31.25     , 16                  , 96             , 1.60000000000000008, 9.5999990000000003
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 37.41658722592, 20                , 20               , 31.25     , 18                  , 95             , 1.80000000000000004, 9.4999990000000007
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 34.81152993348, 20                , 20               , 31.25     , 20                  , 89             , 2                  , 8.8999989999999993
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 32.54560530679, 20                , 20               , 31.25     , 24                  , 100            , 2.39999999999999991, 9.9999990000000007
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 30.55663682366, 20                , 20               , 31.25     , 22                  , 92             , 2.20000000000000017, 9.199999          
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 28.79677182685, 20                , 20               , 31.25     , 25                  , 98             , 2.5                , 9.7999989999999996
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 27.22858133888, 20                , 20               , 31.25     , 25                  , 82             , 2.5                , 8.1999999999999992
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 25.82236842105, 20                , 20               , 31.25     , 25                  , 95             , 2.5                , 9.4999990000000007
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 27.22858133888, 20                , 20               , 31.25     , 25                  , 82             , 2.5                , 8.1999999999999992
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 53.40136054421, 20                , 20               , 31.25     , 0                   , 12             , 0                  , 12                
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 48.24830977258, 20                , 20               , 31.25     , 1                   , 7              , 1                  , 7                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 44.00224215246, 20                , 20               , 31.25     , 1                   , 13             , 1                  , 13                
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 40.44307058217, 20                , 20               , 31.25     , 1                   , 8              , 1                  , 8                 
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 37.41658722592, 20                , 20               , 31.25     , 1                   , 6              , 1                  , 6                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 34.81152993348, 20                , 20               , 31.25     , 1                   , 13             , 1                  , 13                
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 32.54560530679, 20                , 20               , 31.25     , 1                   , 6              , 1                  , 6                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 30.55663682366, 20                , 20               , 31.25     , 1                   , 12             , 1                  , 12                
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 28.79677182685, 20                , 20               , 31.25     , 1                   , 15             , 1                  , 15                
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 27.22858133888, 20                , 20               , 31.25     , 1                   , 13             , 1                  , 13                
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 25.82236842105, 20                , 20               , 31.25     , 1                   , 12             , 1                  , 12                
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 37.41658722592, 20                , 20               , 31.25     , 1                   , 6              , 1                  , 6                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 213.6054421768, 20                , 20               , 31.25     , 0                   , 11             , 0                  , 11                
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 192.9932390903, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 176.0089686098, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 161.7722823287, 20                , 20               , 31.25     , 0                   , 9              , 0                  , 9                 
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 149.6663489037, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 139.2461197339, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 130.1824212272, 20                , 20               , 31.25     , 0                   , 9              , 0                  , 9                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 122.2265472946, 20                , 20               , 31.25     , 0                   , 8              , 0                  , 8                 
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 115.1870873074, 20                , 20               , 31.25     , 0                   , 8              , 0                  , 8                 
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 108.9143253555, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 103.2894736842, 20                , 20               , 31.25     , 0                   , 8              , 0                  , 8                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 192.9932390903, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 534.0136054421, 20                , 20               , 31.25     , 0                   , 11             , 0                  , 11                
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 482.4830977258, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 440.0224215246, 20                , 20               , 31.25     , 0                   , 10             , 0                  , 10                
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 404.4307058217, 20                , 20               , 31.25     , 0                   , 10             , 0                  , 10                
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 374.1658722592, 20                , 20               , 31.25     , 0                   , 8              , 0                  , 8                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 348.1152993348, 20                , 20               , 31.25     , 0                   , 9              , 0                  , 9                 
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 325.4560530679, 20                , 20               , 31.25     , 0                   , 9              , 0                  , 9                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 305.5663682366, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 287.9677182685, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 272.2858133888, 20                , 20               , 31.25     , 0                   , 7              , 0                  , 7                 
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 258.2236842105, 20                , 20               , 31.25     , 0                   , 8              , 0                  , 8                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 482.4830977258, 20                , 20               , 31.25     , 0                   , 6              , 0                  , 6                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 534.0136054421, 20                , 20               , 18.75     , 0                   , 9              , 0                  , 9                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 482.4830977258, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 440.0224215246, 20                , 20               , 18.75     , 0                   , 6              , 0                  , 6                 
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 404.4307058217, 20                , 20               , 18.75     , 0                   , 7              , 0                  , 7                 
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 374.1658722592, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 348.1152993348, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 325.4560530679, 20                , 20               , 18.75     , 0                   , 8              , 0                  , 8                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 305.5663682366, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 287.9677182685, 20                , 20               , 18.75     , 0                   , 6              , 0                  , 6                 
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 272.2858133888, 20                , 20               , 18.75     , 0                   , 6              , 0                  , 6                 
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 258.2236842105, 20                , 20               , 18.75     , 0                   , 7              , 0                  , 7                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 482.4830977258, 20                , 20               , 18.75     , 0                   , 5              , 0                  , 5                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 53.40136054421, 0                 , 2                , 18.75     , 0                   , 3              , 0                  , 3                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 48.24830977258, 0                 , 2                , 18.75     , 1                   , 4              , 1                  , 4                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 44.00224215246, 0                 , 2                , 18.75     , 1                   , 4              , 1                  , 4                 
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 40.44307058217, 0                 , 2                , 18.75     , 1                   , 0              , 1                  , 0                 
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 37.41658722592, 0                 , 2                , 18.75     , 1                   , 2              , 1                  , 2                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 34.81152993348, 0                 , 2                , 18.75     , 1                   , 5              , 1                  , 5                 
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 32.54560530679, 0                 , 2                , 18.75     , 1                   , 5              , 1                  , 5                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 30.55663682366, 0                 , 2                , 18.75     , 1                   , 1              , 1                  , 1                 
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 28.79677182685, 0                 , 2                , 18.75     , 1                   , 5              , 1                  , 5                 
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 27.22858133888, 0                 , 2                , 18.75     , 1                   , 6              , 1                  , 6                 
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 25.82236842105, 0                 , 2                , 18.75     , 1                   , 3              , 1                  , 3                 
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 40.44307058217, 0                 , 2                , 18.75     , 1                   , 0              , 1                  , 0                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .01543561293, .000294 , 0    , 21360.54, 50          , 53.40136054421, 0                 , 20               , 18.75     , 0                   , 1              , 0                  , 1                 
 2.1           , .01708433106, .0003254, 0    , 19299.32, 50          , 48.24830977258, 0                 , 20               , 18.75     , 0                   , 1              , 0                  , 1                 
 2.1           , .01873309564, .0003568, 0    , 17600.89, 50          , 44.00224215246, 0                 , 20               , 18.75     , 0                   , 1              , 0                  , 1                 
 2.1           , .02038191115, .0003882, 0    , 16177.22, 50          , 40.44307058217, 0                 , 20               , 18.75     , 0                   , 2              , 0                  , 2                 
 2.1           , .02203078208, .0004196, 0    , 14966.63, 50          , 37.41658722592, 0                 , 20               , 18.75     , 0                   , 1              , 0                  , 1                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 34.81152993348, 0                 , 20               , 18.75     , 0                   , 0              , 0                  , 0                 
 2.1           , .02532870815, .0004824, 0    , 13018.24, 50          , 32.54560530679, 0                 , 20               , 18.75     , 1                   , 1              , 1                  , 1                 
 2.1           , .02697777228, .0005138, 0    , 12222.65, 50          , 30.55663682366, 0                 , 20               , 18.75     , 1                   , 2              , 1                  , 2                 
 2.1           , .02862690979, .0005452, 0    , 11518.7 , 50          , 28.79677182685, 0                 , 20               , 18.75     , 1                   , 1              , 1                  , 1                 
 2.1           , .03027612519, .0005766, 0    , 10891.43, 50          , 27.22858133888, 0                 , 20               , 18.75     , 1                   , 0              , 1                  , 0                 
 2.1           , .03192542296, .000608 , 0    , 10328.94, 50          , 25.82236842105, 0                 , 20               , 18.75     , 1                   , 4              , 1                  , 4                 
 2.1           , .02367971292, .000451 , 0    , 13924.61, 50          , 34.81152993348, 0                 , 20               , 18.75     , 0                   , 0              , 0                  , 0                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .00771757661, .000294 , 0    , 21360.54, 25          , 53.40136054421, 0                 , 20               , 9.375     , 0                   , 0              , 0                  , 0                 
 2.1           , .00854185387, .0003254, 0    , 19299.32, 25          , 48.24830977258, 0                 , 20               , 9.375     , 0                   , 0              , 0                  , 0                 
 2.1           , .00936613693, .0003568, 0    , 17600.89, 25          , 44.00224215246, 0                 , 20               , 9.375     , 0                   , 1              , 0                  , 1                 
 2.1           , .01019042637, .0003882, 0    , 16177.22, 25          , 40.44307058217, 0                 , 20               , 9.375     , 0                   , 2              , 0                  , 2                 
 2.1           , .01101472272, .0004196, 0    , 14966.63, 25          , 37.41658722592, 0                 , 20               , 9.375     , 0                   , 1              , 0                  , 1                 
 2.1           , .01183902656, .000451 , 0    , 13924.61, 25          , 34.81152993348, 0                 , 20               , 9.375     , 0                   , 0              , 0                  , 0                 
 2.1           , .01266333844, .0004824, 0    , 13018.24, 25          , 32.54560530679, 0                 , 20               , 9.375     , 0                   , 0              , 0                  , 0                 
 2.1           , .01348765893, .0005138, 0    , 12222.65, 25          , 30.55663682366, 0                 , 20               , 9.375     , 0                   , 0              , 0                  , 0                 
 2.1           , .01431198859, .0005452, 0    , 11518.7 , 25          , 28.79677182685, 0                 , 20               , 9.375     , 0                   , 0              , 0                  , 0                 
 2.1           , .01513632797, .0005766, 0    , 10891.43, 25          , 27.22858133888, 0                 , 20               , 9.375     , 0                   , 1              , 0                  , 1                 
 2.1           , .01596067763, .000608 , 0    , 10328.94, 25          , 25.82236842105, 0                 , 20               , 9.375     , 0                   , 3              , 0                  , 3                 
 2.1           , .00771757661, .000294 , 0    , 21360.54, 25          , 53.40136054421, 0                 , 20               , 9.375     , 0                   , 0              , 0                  , 0                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .00771757661, .000294 , 0    , 21360.54, 25          , 160.2040816326, 0                 , 20               , 15.625    , 0                   , 3              , 0                  , 3                 
 2.1           , .00854185387, .0003254, 0    , 19299.32, 25          , 144.7449293177, 0                 , 20               , 15.625    , 0                   , 4              , 0                  , 4                 
 2.1           , .00936613693, .0003568, 0    , 17600.89, 25          , 132.0067264574, 0                 , 20               , 15.625    , 0                   , 3              , 0                  , 3                 
 2.1           , .01019042637, .0003882, 0    , 16177.22, 25          , 121.3292117465, 0                 , 20               , 15.625    , 0                   , 2              , 0                  , 2                 
 2.1           , .01101472272, .0004196, 0    , 14966.63, 25          , 112.2497616777, 0                 , 20               , 15.625    , 0                   , 1              , 0                  , 1                 
 2.1           , .01183902656, .000451 , 0    , 13924.61, 25          , 104.4345898004, 0                 , 20               , 15.625    , 0                   , 1              , 0                  , 1                 
 2.1           , .01266333844, .0004824, 0    , 13018.24, 25          , 97.63681592039, 0                 , 20               , 15.625    , 0                   , 1              , 0                  , 1                 
 2.1           , .01348765893, .0005138, 0    , 12222.65, 25          , 91.669910471  , 0                 , 20               , 15.625    , 0                   , 2              , 0                  , 2                 
 2.1           , .01431198859, .0005452, 0    , 11518.7 , 25          , 86.39031548055, 0                 , 20               , 15.625    , 0                   , 1              , 0                  , 1                 
 2.1           , .01513632797, .0005766, 0    , 10891.43, 25          , 81.68574401664, 0                 , 20               , 15.625    , 0                   , 3              , 0                  , 3                 
 2.1           , .01596067763, .000608 , 0    , 10328.94, 25          , 77.46710526315, 0                 , 20               , 15.625    , 0                   , 1              , 0                  , 1                 
 2.1           , .01101472272, .0004196, 0    , 14966.63, 25          , 112.2497616777, 0                 , 20               , 15.625    , 0                   , 1              , 0                  , 1                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .00771757661, .000294 , 0    , 21360.54, 25          , 53.40136054421, 0                 , 20               , 15.625    , 0                   , 0              , 0                  , 0                 
 2.1           , .00854185387, .0003254, 0    , 19299.32, 25          , 48.24830977258, 0                 , 20               , 15.625    , 0                   , 1              , 0                  , 1                 
 2.1           , .00936613693, .0003568, 0    , 17600.89, 25          , 44.00224215246, 0                 , 20               , 15.625    , 0                   , 1              , 0                  , 1                 
